vendor,series,display_name,target_config,device_type,classification_status,part_number
Nordic Semiconductor,NRF52,Nrf52,tcl/target/nordic/nrf52.cfg,Wireless MCU,Auto-classified,
Nordic Semiconductor,NRF53,Nrf53,tcl/target/nordic/nrf53.cfg,Wireless MCU,Auto-classified,
Nordic Semiconductor,NRF54,Nrf54L,tcl/target/nordic/nrf54l.cfg,Wireless MCU,Auto-classified,
Nordic Semiconductor,NRF91,Nrf91,tcl/target/nordic/nrf91.cfg,Wireless MCU,Auto-classified,
Nuvoton,NPCX,Npcx,tcl/target/npcx.cfg,MCU,Auto-classified,
Nuvoton,NUC910,Nuc910,tcl/target/nuc910.cfg,MCU,Auto-classified,
Nuvoton,NUMICRO,Numicro,tcl/target/numicro.cfg,MCU,Auto-classified,
Nuvoton,NUMICRO,Numicro M4,tcl/target/numicro_m4.cfg,MCU,Auto-classified,
NXP,LX2160A,Lx2160A,tcl/target/nxp/lx2160a.cfg,MCU,Auto-classified,
Unclassified,OR1K,Or1K,tcl/target/or1k.cfg,Unknown,Internal/helper,
Microchip,PIC32MX,Pic32Mx,tcl/target/pic32mx.cfg,MCU,Auto-classified,
Infineon,PSOC4,Psoc4,tcl/target/psoc4.cfg,MCU,Auto-classified,
Infineon,PSOC5,Psoc5Lp,tcl/target/psoc5lp.cfg,MCU,Auto-classified,
Infineon,PSOC6,Psoc6,tcl/target/psoc6.cfg,MCU,Auto-classified,
Unclassified,PXA255,Pxa255,tcl/target/pxa255.cfg,Unknown,Needs review,
Unclassified,PXA270,Pxa270,tcl/target/pxa270.cfg,Unknown,Needs review,
Unclassified,PXA3XX,Pxa3Xx,tcl/target/pxa3xx.cfg,Unknown,Needs review,
NXP,QN908X,Qn908X,tcl/target/qn908x.cfg,MCU,Auto-classified,
Qualcomm,AGATTI,Agatti,tcl/target/qualcomm/agatti.cfg,SoC,Auto-classified,
Qualcomm,COMMON,Common,tcl/target/qualcomm/common.cfg,SoC,Auto-classified,
Qualcomm,QCS6490,Qcs6490,tcl/target/qualcomm/qcs6490.cfg,SoC,Auto-classified,
Qualcomm/Atheros,QUALCOMM QCA4531,Qualcomm Qca4531,tcl/target/qualcomm_qca4531.cfg,SoC,Auto-classified,
Intel,QUARK D20XX,Quark D20Xx,tcl/target/quark_d20xx.cfg,MCU,Auto-classified,
Intel,QUARK X10XX,Quark X10Xx,tcl/target/quark_x10xx.cfg,MCU,Auto-classified,
Renesas,RENESAS_R7S72100,Renesas R7S72100,tcl/target/renesas_r7s72100.cfg,MCU,Auto-classified,
Renesas,RENESAS_RCAR,Renesas Rcar Gen2,tcl/target/renesas_rcar_gen2.cfg,MCU,Auto-classified,
Renesas,RENESAS_RCAR,Renesas Rcar Gen3,tcl/target/renesas_rcar_gen3.cfg,MCU,Auto-classified,
Renesas,RENESAS_RCAR,Renesas Rcar Reset Common,tcl/target/renesas_rcar_reset_common.cfg,MCU,Internal/helper,
Renesas,RENESAS_RZ,Renesas Rz,tcl/target/renesas_rz.cfg,MCU,Auto-classified,
Renesas,RENESAS_RZ,Renesas Rz Five,tcl/target/renesas_rz_five.cfg,MCU,Auto-classified,
Renesas,RENESAS_S7G2,Renesas S7G2,tcl/target/renesas_s7g2.cfg,MCU,Auto-classified,
Rockchip,RK3308,Rk3308,tcl/target/rk3308.cfg,SoC,Auto-classified,
Rockchip,RK3399,Rk3399,tcl/target/rk3399.cfg,SoC,Auto-classified,
Rockchip,RK3588,Rk3588,tcl/target/rk3588.cfg,SoC,Auto-classified,
Raspberry Pi,RP2040,Rp2040,tcl/target/rp2040.cfg,MCU,Auto-classified,
Raspberry Pi,RP2350,Rp2350,tcl/target/rp2350.cfg,MCU,Auto-classified,
Unclassified,RSL10,Rsl10,tcl/target/rsl10.cfg,Unknown,Needs review,
Unclassified,RTL872XD,Rtl872Xd,tcl/target/rtl872xd.cfg,Unknown,Needs review,
NXP,S32K,S32K,tcl/target/s32k.cfg,MCU,Auto-classified,
Samsung,SAMSUNG S3C2410,Samsung S3C2410,tcl/target/samsung_s3c2410.cfg,SoC,Auto-classified,
Samsung,SAMSUNG S3C2440,Samsung S3C2440,tcl/target/samsung_s3c2440.cfg,SoC,Auto-classified,
Samsung,SAMSUNG S3C2450,Samsung S3C2450,tcl/target/samsung_s3c2450.cfg,SoC,Auto-classified,
Samsung,SAMSUNG S3C4510,Samsung S3C4510,tcl/target/samsung_s3c4510.cfg,SoC,Auto-classified,
Samsung,SAMSUNG S3C6410,Samsung S3C6410,tcl/target/samsung_s3c6410.cfg,SoC,Auto-classified,
Unclassified,SHARP LH79532,Sharp Lh79532,tcl/target/sharp_lh79532.cfg,Unknown,Needs review,
