vendor,part_number,identifier_kind,cpu_architectures,target_config,openocd_distribution,mapping_status,validation_status,catalog_origin
Artery,AT32F437VDT7,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F437ZCT7,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Artery,AT32F437ZDT7,manufacturer_part_number,"[""ARM Cortex-M""]",tcl/target/artery/at32f4x.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Bouffalo Lab,BL602,cmsis_device_name,"[""RISC-V""]",tcl/target/bl602.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Bouffalo Lab,BL702,cmsis_device_name,"[""RISC-V""]",tcl/target/bl702.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Bouffalo Lab,BL702L,cmsis_device_name,"[""RISC-V""]",tcl/target/bl702l.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Bouffalo Lab,BL704L,cmsis_device_name,"[""RISC-V""]",tcl/target/bl702l.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Cypress/Fujitsu,MB9AF102N,cmsis_device_name,"[""ARM Cortex-M""]",tcl/target/fm3.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Cypress/Fujitsu,MB9AF102R,cmsis_device_name,"[""ARM Cortex-M""]",tcl/target/fm3.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Cypress/Fujitsu,MB9AF104N,cmsis_device_name,"[""ARM Cortex-M""]",tcl/target/fm3.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Cypress/Fujitsu,MB9AF104R,cmsis_device_name,"[""ARM Cortex-M""]",tcl/target/fm3.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Cypress/Fujitsu,MB9AF111K,cmsis_device_name,"[""ARM Cortex-M""]",tcl/target/fm3.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Cypress/Fujitsu,MB9AF111L,cmsis_device_name,"[""ARM Cortex-M""]",tcl/target/fm3.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Cypress/Fujitsu,MB9AF111M,cmsis_device_name,"[""ARM Cortex-M""]",tcl/target/fm3.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Cypress/Fujitsu,MB9AF111N,cmsis_device_name,"[""ARM Cortex-M""]",tcl/target/fm3.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
